,id,owner_1_score,RATE_owner_1,CAP_AMOUNT_owner_1,PERCENT_OWN_owner_1,owner_2_score,RATE_owner_2,CAP_AMOUNT_owner_2,PERCENT_OWN_owner_2,owner_3_score,RATE_owner_3,CAP_AMOUNT_owner_3,PERCENT_OWN_owner_3,years_in_business,RATE_ID_FOR_years_in_business,fsr,RATE_ID_FOR_fsr,location,RATE_ID_FOR_location,funded_last_30,RATE_ID_FOR_funded_last_30,judgement_lien_percent,RATE_ID_FOR_judgement_lien_percent,INPUT_VALUE_ID_FOR_judgement_lien_amount,RATE_ID_FOR_judgement_lien_amount,INPUT_VALUE_ID_FOR_judgement_lien_time,RATE_ID_FOR_judgement_lien_time,INPUT_VALUE_ID_FOR_num_negative_days,RATE_ID_FOR_num_negative_days,INPUT_VALUE_ID_FOR_num_deposits,RATE_ID_FOR_num_deposits,INPUT_VALUE_ID_FOR_monthly_gross,RATE_ID_FOR_monthly_gross,INPUT_VALUE_ID_FOR_average_ledger,RATE_ID_FOR_average_ledger,INPUT_VALUE_ID_FOR_fc_margin,RATE_ID_FOR_fc_margin,INPUT_VALUE_ID_FOR_tax_lien_amount,RATE_ID_FOR_tax_lien_amount,INPUT_VALUE_ID_FOR_tax_lien_percent,RATE_ID_FOR_tax_lien_percent,INPUT_VALUE_ID_FOR_tax_lien_count,RATE_ID_FOR_tax_lien_count,INPUT_VALUE_ID_FOR_current_position,RATE_ID_FOR_current_position,INPUT_VALUE_ID_FOR_avg_net_deposits,RATE_ID_FOR_avg_net_deposits,INPUT_VALUE_ID_FOR_industry_type,RATE_ID_FOR_industry_type,INPUT_VALUE_owner_4,RATE_owner_4,CAP_AMOUNT_owner_4,PERCENT_OWN_owner_4,deal_application_thread_id,completion_status
332,1971,505,C,35000,100,,,,,,,,,6.84,A,,,Home,A,N,,0,A,0,A,,,0.666666667,A,16.66666667,A,109106,A,7333.333333,A,0.07,A,0,A,0,A,0,A,0,A,109106,,preferred,,505,C,35000,100,1977,Paid off with renewal
1837,7184,598,B,100000,100,,,,,,,,,6.77,A,92,,Verified,A,N,,0,A,0,A,,,0,A,32.25,A,153910.6925,A,65517.5,A,0.43,A,0,A,0,A,0,A,1,A,153910.6925,,preferred,,598,B,100000,100,4538,Paid in full
428,2052,690,A,150000,33.3,717,A,150000,33.3,,,,,30.28,A,80,,Verified,A,N,,0,A,0,A,,,0.25,A,120.75,A,391481.25,A,47417.1075,A,0.12,A,0,A,0,A,0,A,1,A,391481.25,,preferred,,703,A,150000,66.6,2131,Default
1740,6384,672,A,150000,100,,,,,,,,,2.38,A,37,,Verified,A,N,,0,A,0,A,,,0,A,6.857142857,R,145602.4286,A,39317,A,0.27,A,0,A,0,A,0,A,2,C,145602.4286,,preferred,,672,A,150000,100,5598,Paid off with renewal
195,1112,634,A,150000,100,,,,,,,,,6.8,A,86,,Verified,A,N,,0,A,0,A,,,0,A,1.666666667,R,22445,A,0,D,0,D,0,A,0,A,0,A,1,A,22445,,standard,,634,A,150000,100,765,Paid off with renewal
1902,7889,693,A,150000,100,,,,,,,,,5.71,A,92,,Verified,A,N,,0,A,0,A,,,0,A,33.25,A,161968.75,A,10575.25,A,0.07,A,0,A,0,A,0,A,2,C,161968.75,,preferred,,693,A,150000,100,6832,Default
1544,5166,716,A,150000,100,,,,,,,,,5.58,A,6,,Verified,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,716,A,150000,100,4765,Paid via discounted payoff
1115,6699,647,A,150000,100,,,,,,,,,2.8,A,28,,Verified,A,N,,0,A,0,A,,,0.75,A,30,A,47991.75,A,3500.5,A,0.07,A,0,A,0,A,0,A,1,A,47991.75,,preferred,,647,A,150000,100,5961,Paid in full
1407,4494,590,B,100000,100,,,,,,,,,1.52,B,6,,Home,A,N,,0,A,0,A,,,0,A,17.66666667,A,71951.5,A,13550.07667,A,0.19,A,0,A,0,A,0,A,1,A,71951.5,,preferred,,590,B,100000,100,4410,Paid in full
750,4915,655,A,150000,100,,,,,,,,,3.66,A,,,Home,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,655,A,150000,100,4666,Paid in full
426,2548,664,A,150000,100,,,,,,,,,4.38,A,6,,Verified,A,N,,0,A,0,A,,,0,A,5.5,R,85741.5,A,26285.5,A,0.31,A,0,A,0,A,0,A,1,A,85741.5,,capped,,664,A,150000,100,2630,Paid in full
729,5089,705,A,150000,100,,,,,,,,,13,A,,,Home,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,705,A,150000,100,4743,Paid in full
